PastQuesId,PastQuesTitle,PastQuesBody,PastQuesTags
470,"['good', 'word', 's', 'password', 'protect']","['password', 'protect', 'ms', 'word', 'file', 'need', 'stai', 'privat', 'good', 'word', 's', 'protect', 's', 'good', 'suggest', 'better', 'method', 'keep', 'file', 'protect', 'edit', 'goal', 'send', 'protect', 'file', 'recipi', 'know', 'password', 'assum', 'recipi', 'know', 'encrypt', 'decrypt', 'absolut', 'll', 'encrypt', 'file', 'painstakingli', 'teach', 'recipi', 'decrypt']","['microsoft', 'word', 'passwords', 'encryption', 'privacy', 'protection']"
541,"['softwar', 'help', 'learn', 'dvorak', 'layout']","['ve', 'recent', 'stumbl', 'abil', 'instal', 'keyboard', 'window', 've', 'instal', 'languag', 'dvorak', 'keyboard', 've', 'try', 'learn', 'blindli', 'retyp', 'text', 'file', 'build', 'muscl', 'memori', 's', 'difficult', 'rememb', 'kei', 'think', 'good', 'learn', 'repetit', 'similarli', 'learn', 'qwerti', 'layout', 'm', 'have', 'difficulti', 'find', 'prefer', 'free', 'softwar', 'avail', 'help', 'learn', 'type', 'dvorak']","['keyboard', 'dvorak']"
568,"['print', 'document', 'pdf']","['like', 'print', 'pdf', 'document', 've', 'pdfcreator', 'good', 'choic', 'better', 'solut']","['windows', 'pdf', 'print', 'to', 'pdf']"
645,"['us', 'safari', 'window']","['ve', 'consid', 'instal', 'safari', 'window', 'machin', 'worth', 'normal', 'us', 'opera', 'fall', 'firefox', 'need', 'extra', 'compat', 'safari', 'add']","['windows', 'safari']"
672,"['router', 'prefer', 'dd', 'wrt', 'openwrt']","['m', 'awar', 'giant', 'support', 'devic', 'list', 'm', 'wonder', 'on', 'prefer', 'e', 'g', 'support', 'mega', 'instal', 'cheap', 'reliabl', 'hardwar', 'usb', 'port', 've', 'asu', 'wl', 'g', 'premium', 'year', 've', 'eyebal', 'wl', 'gu', 'recent']","['wireless', 'networking', 'router', 'dd', 'wrt', 'openwrt']"
792,"['replac', 'notepad', 'window']","['us', 'notepad', 'love', 'notepad', 'replac', 'notepad', 'notepad', 'window', 'us', 'old', 'version', 'notepad']","['windows', 'notepad', 'notepad']"
830,"['good', 'storag', 'media']","['current', 'regular', 'usb', 'drive', 'store', 'media', 'audio', 'video', 'imag', 'm', 'think', 'upgrad', 'media', 'storag', 'facil', 'usabl', 'hopefulli', 'need', 'turn', 'us', 'avail', 'remot', 'access', 'manag', 'handl', 'synchron', 'data', 'serv', 'backup', 'storag', 'cold', 'swappabl', 'main', 'problem', 'current', 'statu', 'disk', 'need', 'close', 'turn', 'us', 'pain', 'us', 'laptop', 'word', 'remot', 'access', 'direct', 'plai', 'media', 'automat', 'have', 'us', 'parti', 'backup', 'synch', 'tool', 'synchron', 'disk', 'comput', 'disk', 'm', 'awar', 'media', 'drive', 'address', 'issu', 'want', 'know', 'know', 'solv', 'hear', 'experi', 'manag', 'scenario']","['media', 'media', 'player', 'storage', 'product', 'rec']"
845,"['podcast', 'tool', 'creat', 'feed']","['want', 'chang', 'stream', 'server', 'podcast', 'wai', 'distribut', 'messag', 'world', 'wide', 'net', 'church', 'messag', 'week', 'church', 'upload', 'need', 'tool', 'easili', 'creat', 'feed', 'upload', 'websit', 'automat', 'creat', 'feed', 'file', 'webserv', 'mp', 'tag', 'main', 'criteria', 'easi', 'us', 'non', 'profession', 'e', 'pastor', 'stuggl', 'upload', 'mp', 'file', 'server', 'manag', 'tool', 'avail', 'edit', 'mayb', 'info', 'ld', 'like', 'set', 'mp', 'file', 'local', 'media', 'server', 'file', 'tag', 'titl', 'artist', 'style', 'year', 'like', 'app', 'local', 'demand', 'websit', 'dynam', 'gener', 'podcast', 'take', 'n', 'recent', 'file']","['podcasts', 'feed']"
883,"['tool', 'us', 'aggreg', 'internet', 'activ']","['explos', '_social', 'web_', 'coupl', 'year', 'produc', 'narcissist', 'inan', 'self', 'congratulatori', 'content', 'place', 'us', 'consolid', 'stream', 'awesom', 'singl', 'font', 'wisdom']","['rss', 'blogging', 'aggregation']"
886,"['softwar', 'backup', 'data', 'file', 'window']","['data', 'file', 'run', 'window', 'want', 'sure', 't', 'lose', 'data', 'inform', 'get', 'toast', 'power', 'surg', 'corrupt', 'medium', 've', 'heard', 'look', 'kind', 'archiv', 'tool', 'look', 'backup', 'program']","['windows', 'backup', 'community', 'faq', 'proposed']"
893,"['miss', 'stick', 'window', 'xp']","['ve', 'seen', 'vista', 'come', 'look', 'cool', 'assum', 'run', 'slower', 'machin', 'aero', 'theme', 'run', 'xp', 'anim', 'shadow', 'like', 'turn', 'set', '_window', 'classic_', 'theme', 'window', 'horizon', 'reason', 'think', 'upgrad', 'updat', 'clarifi', 'turn', 'anim', 'better', 'perform', 'year', 'old', 'run', 'spec', 'intel', 'core', 'tm', 'cpu', 'ghz', 'gb', 'ram', 'updat', 'run', 'window']","['windows', 'xp']"
903,"['best', 'keyboard', 'built', 'point', 'devic', 'media', 'center', 'mac']","['ve', 'got', 'mac', 'mini', 'home', 'entertain', 'machin', 'm', 'current', 'regular', 'wireless', 'keyboard', 'mous', 'combo', 't', 'great', 'mous', 'surfac', 'd', 'like', 'us', 'like', 'trackpad', 'trackbal', 'recommend', 'keyboard', 't', 'mac', 'specif', 'problem', 'os', 'x', 's', 'kei', 'remap']","['keyboard', 'mouse', 'touchpad', 'media', 'center', 'input', 'device']"
1024,"['actual', 'wash', 'laptop']","['rememb', 'joel', 'mention', 'stackoverflow', 'podcast', 'wash', 'laptop', 'tap', 'part', 'rust', 'dry', 'laptop']","['laptop', 'cleaning']"
1063,"['interpret', 'specif', 'ssd']","['consid', 'bui', 'ssd', 'interpret', 'differ', 'specif', 'ssd', 'specif', 'thing', 'need', 'deciph', 'control', 'affect', 'perform', 'endur', 'factor', 'combin', 'bu', 'technolog', 'form', 'factor', 'physic', 'size', 'capac', 'nand', 'technolog', 'power', 'consumpt', 'read', 'write', 'idl', 'read', 'write', 'burst', 'sustain', 'throughput', 'thing', 'like', 'explain', 'actual', 'import', 'select', 'ssd']","['hard', 'drive', 'ssd', 'specifications']"
1068,"['identifi', 'scam', 'onlin']","['common', 'wai', 'identifi', 'scam', 'place', 'email', 'banner', 'advertis', 'popular', 'websit', 'determin', 'real', 'intend', 'mom', 'non', 'technic', 'possibl']",['email']
1076,"['rebuild', 'li', 'ion', 'laptop', 'batteri']","['ag', 'gatewai', 'nx', 'xl', 'laptop', 'batteri', 'toast', 'new', 'aftermarket', 'start', 'experi', 'began', 'tear', 'apart', 'old', 'batteri', 'standard', 'size', 'li', 'ion', 'cell', 'arrang', 'cell', 'parallel', 'seri', 'like', 'onlin', 'shop', 'reveal', 'ea', 'replac', 'depend', 'mah', 'output', 'plan', 'load', 'test', 'determin', 'bad', 'cell', 'replac', 'read', 'typic', 'bad', 'm', 'profici', 'solder', 'cell', 'attach', 'weld', 'tab', 'broke', 'disassembl', 'm', 'sure', 'reattach', 'onlin', 'cell', 'like', 'solder', 'tab', 'pre', 'weld', 'end', 'solder', 'wire', 'guid', 'avail', 'provid', 'instruct', 'part', 'kind', 'rebuild']","['laptop', 'battery', 'rebuild', 'lithium', 'ion']"
1118,"['replac', 'power', 'suppli', 'bui', 'rebuilt']","['power', 'suppli', 'wife', 's', 'gave', 'ghost', 'replac', 'power', 'suppli', 'purchas', 'rebuilt', 'machin', 'shop', 'option', 'note', 'new', 'machin', 'memori', 'faster', 'processor']","['power', 'supply', 'rebuild']"
1123,"['replac', 'zonealarm', 'bit', 'system']","['like', 'control', 'outbound', 'internet', 'connect', 'zonealarm', 'work', 'bit', 'version', 'microsoft', 'window', 'option', 'control', 'outbound', 'connect', 'e', 'g', 'block', 'access', 'certain', 'site', 'certain', 'applic', 'certain', 'port', 'bit', 'window', 'e', 'g', 'microsoft', 'window', 'xp', 'profession', 'x', 'edit', 'softwar', 'hardwar', 'free', 'commerci', 'router', 'primit', 'wai', 'block', 'certain', 'site', 'know', 'block', 'default', 'mode', 'enter', 'site', 'want', 'feasibl']","['windows', 'bit', 'firewall', 'zonealarm']"
1137,"['aren', 't', 'applic', 'portabl']","['ve', 'recent', 'try', 'instal', 'stuff', 'lot', 'window', 'machin', 'hate', 'instal', 'need', 'know', 'program', 'stuff', 'choos', 'us', 'portabl', 'standalon', 'version', 'applic', 'instead', 'program', 'dir', 'drive', 'separ', 'window', 'partit', 'reinstal', 'applic', 'avail', 'minim', 'effort', 'plu', 'nice', 'clean', 'setup', 'applic', 'like', 'offic', 'creativ', 'suit', 'requir', 'horribl', 'long', 'instal', 'process', 'thousand', 'random', 'librari', 'tool', 'thrown', 'window', 'app', 'need', 'instal', 't', 'drag', 'photoshop', 'folder', 'la', 'osx', 'work', 'focu', 'portabl', 'app', 'ocd', 'thing']","['windows', 'installer', 'portable', 'apps']"
1264,"['minimum', 'gentoo', 'hardwar', 'requir']","['minimum', 'requir', 'abl', 'run', 'gentoo', 'linux', 'effect']","['gentoo', 'requirements']"
1266,"['good', 'free', 'media', 'server', 'os', 'x', 'stream', 'movi', 'xbox']","['mac', 'mini', 'run', 'os', 'x', 'fill', 'movi', 'look', 'good', 'wai', 'stream', 'xbox', 'suggest', 'media', 'server', 'upnp', 'mac']","['macos', 'media', 'xbox', 'upnp', 'media', 'server']"
1297,"['best', 'tv', 'tuner', 'uk', 'vista', 'media', 'center', 'window', 'media', 'center', 'bit']","['look', 'dual', 'tuner', 'dual', 'tuner', 'freeview', 'give', 'tuner', 'current', 'hauppaug', 'card', 'ran', 'bit', 'vista', 'sure', 'chang', 'look', 'order', 'window', 'home', 'premium', 'want', 'ensur', 'relev', 'tuner', 'card']","['windows', 'media', 'center', 'tuner', 'card']"
1402,"['best', 'window', 'media', 'center', 'extend']","['best', 'window', 'media', 'center', 'extend', 'debat', 'extend', 'hook', 'directli', 'video', 'card', 'video', 'card', 'method', 'go', 'pain', 'control', 'remot', 'aren', 't', 'good', 'good', 'extend', 'good', 'remot', 'support', 'hdmi']","['windows', 'media', 'center', 'media', 'center', 'extender']"
1517,"['chines', 'im', 'microsoft', 'googl']","['learn', 'bit', 'chines', 'option', 'enter', 'chines', 'text', 'im', 'chines', 'im', 'ship', 'window', 'googl', 'im', 'recent', 'entrant', 'recommend']","['windows', 'chinese', 'ime']"
1594,"['t', 'defrag', 'solid', 'state', 'drive']","['hear', 'huge', 'run', 'ubuntu', 't', 'affect', 'wonder']","['windows', 'ssd', 'defragment']"
1601,"['best', 'minim', 'window', 'xp', 'theme', 'know']","['m', 'think', 'chang', 'plain', 'old', 'xp', 'theme', 'classic', 'new', 'minimalist', 'on', 'recommend']","['windows', 'xp', 'themes']"
1603,"['instal', 'window', 'rc', 'usb', 'disk']","['provid', 'detail', 'step', 'instal', 'window', 'rc', 'usb', 'hard', 'disk', 'dvd']","['windows', 'usb', 'installation']"
1649,"['window', 'split', 'desktop', 'util']","['thing', 't', 'want', 'multipl', 'separ', 'desktop', 'd', 'like', 'abl', 'split', 'main', 'desktop', 'area', 'applic', 'maxim', 'won', 't', 'physic', 'screen', 'portion', 'like', 'abl', 'app', 'maxim', 'view', 'singl', 'monitor', 'idea']","['windows', 'desktop']"
1820,"['surf', 'web', 'anonym']","['best', 'fastest', 'safest', 'wai', 'surf', 'web', 'anonym', 'anonym', 'achiev']","['internet', 'web', 'privacy']"
1967,"['good', 'linux', 'distribut', 'newbi']","['good', 'distribut', 'newbi', 'm', 'talk', 'grandma', 'us', 'surf', 'solitair', 'm', 'talk', 'fairli', 'intellig', 'peopl', 'know', 'wai', 'window', 'tire', 'deal', 'import', 'featur', 'said', 'distribut']","['linux', 'linux', 'distributions']"
2099,"['vim', 'featur', 'us']","['spend', 'dai', 'program', 'vim', 'sure', 'lot', 'featur', 'us', 'dai', 'dai', 'code', 'better', 'us', 'gv', 'let', 'reselect', 'previous', 'select', 'text', 'great', 'reindent']","['vim', 'text', 'editing', 'vi']"
2127,"['zsh', 'featur', 'us']","['lot', 'work', 'termin', 'learn', 'lot', 'shell', 'choic', 'zsh', 'featur', 'zsh', 'us', 'product', 'work', 'favorit', 'multi', 'dir', 'autocomplet', 'instead', 'type', 'cd', 'fo', 'tab', 'ba', 'tab', 'ba', 'tab', 'cd', 'fo', 'ba', 'ba', 'tab', 'save', 'keystrok']","['command', 'line', 'shell', 'zsh']"
2289,"['pdf', 'reader', 'iphon']","['s', 'best', 'pdf', 'reader', 'iphon', 'm', 'curiou', 'adob', 'releas']","['iphone', 'pdf']"
2335,"['best', 'wai', 'protect', 'viru', 'screen', 'reader']","['m', 'avid', 'internet', 'poker', 'player', 'best', 'wai', 'sure', 't', 'virus', 'program', 'read', 'screen']","['security', 'anti', 'virus', 'screen', 'capture']"
2403,"['keep', 'date', 'updat']","['like', 'keep', 'date', 'latest', 'updat', 'softwar', 'window', 'set', 'automat', 'download', 'instal', 'updat', 'program', 'rd', 'parti', 'softwar', 'updat', 'especi', 't', 'check', 'updat', 'featur', 'edit', 'recent', 'ran', 'articl', 'list', 'updatestar', 'filehippo', 'com', 'updat', 'checker', 'updat', 'notifi', 'secunia', 'psi', 'sumo']","['windows', 'automation']"
2694,"['wai', 'brows', 'websit', 'block', 'isp']","['possibl', 'brows', 'websit', 'block', 'isp']","['internet', 'blocking', 'browsing']"
2696,"['s', 'good', 'free', 'defrag', 'tool', 'vm']","['window', 'xp', 'virtualpc', 'machin', 'virtual', 'hard', 'disk', 's', 'dynam', 'disk', 'mean', 'expand', 'need', 'right', 's', 'gb', 've', 'bunch', 'stuff', 's', 'gb', 'stuff', 'clean', 'bit', 'tri', 'defrag', 'disk', 'built', 'defragment', 'xp', 'show', 'enorm', 'gap', 'layout', 'disk', 'probabl', 'stuff', 'remov', 'defrag', 'giant', 'gap', 'obvious', 'defrag', 'occur', 'think', 'disk', 'defrag', 'complet', 'compact', 'imag', 'files', 'end', 'goal', 'distribut', 'cowork', 'big', 'plu', 'free', 'defrag', 'tool', 'thorough', 'job']","['virtual', 'machine', 'defragment']"
2699,"['turn', 'uac', 'singl', 'app']","['m', 'run', 'window', 'rc', 've', 'got', 'poorli', 'design', 'app', 'forc', 'click', 'uac', 'box', 'order', 'launch', 'annoy', 't', 'mind', 'uac', 'asid', 'issu', 'wai', 'stop', 'uac', 'pop', 'particular', 'app', 'execut']","['windows', 'windows', 'uac']"
2836,"['s', 'popular', 'portabl', 'applic', 'manag']","['bunch', 'applic', 'carri', 'small', 'flash', 'drive', 'hard', 'date', 'know', 'portableapp', 'com', 'websit', 'repositori', 'resourc', 'subject', 'ideal', 'd', 'like', 'manag', 'instal', 'updat', 'rang', 'tool']","['windows', 'software', 'rec', 'portable', 'apps']"
2871,"['encrypt', 'softwar', 'portabl', 'media', 'work', 'mac', 'osx', 'window']","['m', 'look', 'softwar', 'encrypt', 'portabl', 'media', 'hard', 'drive', 'thumb', 'drive', 'wai', 's', 'transpar', 'os', 'portabl', 'mac', 'osx', 'window', 'try', 'regularli', 'transfer', 'file', 'comput', 'want', 'safe', 'case', 'lose', 'thumb', 'drive', 'transit', 'suggest', 'question', 't', 'address', 'issu', 't', 'tell', 'truecrypt', 'doc']","['encryption', 'portable']"
2899,"['best', 'wai', 'watch', 'internet', 'movi', 'hulu', 'tv']","['tv', 'room', 'wireless', 'access', 'home', 'network', 'have', 'drag', 'pc', 'room', 'best', 'cheapest', 'wai', 'watch', 'onlin', 'movi']","['wireless', 'networking', 'video', 'streaming', 'tv']"
2951,"['consum', 'power', 'ethernet']","['power', 'ethernet', 'year', 'busi', 'industri', 'set', 'haven', 't', 'seen', 'good', 'consum', 'poe', 'devic', 'look', 'right', 'place', 'poe', 'hub', 'switch', 'poe', 'devic', 'simpli', 'nonexist', 'consum', 'space']","['power', 'over', 'ethernet']"
3004,"['best', 'multipl', 'monitor', 'app', 'window']","['best', 'app', 'support', 'multipl', 'monitor', 'window', 'ultra', 'mon', 'perfect', 'vista', 'xp', 't', 'think', 'work', 'window', 'main', 'featur', 'm', 'look', 'taskbar', 'monitor', 'app', 'run', 'doabl', 'base', 'window', 'taskbar', 'work', 'button', 'minim', 'send', 'window', 'monitor', 'separ', 'wallpap', 'monitor']","['windows', 'multiple', 'monitors']"
3054,"['look', 'moder', 'price', 'home', 'surveil', 'setup']","['ve', 'got', 'need', 'comprehens', 'home', 'surveil', 'solut', 'meet', 'follow', 'criteria', 'monthli', 'charg', 'support', 'multipl', 'camera', 'prefer', 'ethernet', 'wifi', 'motion', 'detect', 'sensor', 'trigger', 'door', 'window', 'open', 'water', 'smoke', 'alert', 'email', 'sm', 'remot', 'access', 'portal', 'know', 'm', 'ask', 'world', 't', 'solut', 'featur', 'm', 'think', 'cobbl', 'script', 'logic', 'need', 'work', 'updat', 'ok', 've', 'homework', 'decid', 'open', 'sourc', 'dot', 'net', 'solut', 'call', 'ispi', 'support', 'input', 'motion', 'detect', 'algorithm', 'modifi', 'sourc', 'code', 'add', 'support', 'addit', 'featur', 'want']","['webcam', 'product', 'rec', 'home', 'surveillance']"
3141,"['run', 'virtual', 'desktop', 'like', 'space', 'mac', 'os', 'window']","['us', 'ctrl', 'arrow', 'new', 'virtual', 'desktop', 'macbook', 'real', 'estat', 'organ', 'like', 'applic', 'window', 'help', 'focu', 'task', 'time', 'similar', 'featur', 'work', 'window', 'ctrl', 'arrow', 'behavior', 'mac', 'm', 'talk', 'includ', 'stuff', 'like', 'keyboard', 'shortcut', 'slide', 'new', 'desktop', 'slide', 'window', 'app', 'edg', 'activ', 'move', 'app', 'virtual', 'desktop', 'zoom', 'view', 'allow', 'posit', 'locat', 'window', 'desktop', 'taskbar', 'icon', 'view', 'allow', 'easi', 'click', 'jump', 'desktop', 'rememb', 'app', 'open', 'virtual', 'desktop', 'launch', 'move', 'desktop', 'app', 'launch', 'instal', 'mac', 'os', 'x', 'm', 'look']","['windows', 'virtual', 'desktop']"
3227,"['window', 'readyboost', 'meaning', 'impact', 'perform']","['window', 'readyboost', 'technolog', 'avail', 'window', 'vista', 'meaning', 'impact', 'perform', 'known', 'benchmark', 'compar', 'system', 'speed', 'usb', 'flash', 'devic', 'measur', 'impact', 'perform', 'gain', 'usag', 'scenario', 'yield', 'gain', 'circumst', 'yield', 'gain']","['windows', 'performance', 'ssd', 'readyboost']"
3308,"['good', 'screen', 'magnifi', 'applic']","['instead', 'get', 'coke', 'bottl', 'glass', 'softwar', 'zoom', 'portion', 'screen', 'edit', 'platform', 'window', 'nice']","['windows', 'zoom']"
3345,"['stop', 'spywar', 'adwar', 'popup']","['possibl', 'duplic', 'infect', 'viru', 'malwar', 'think', 'brother', 'got', 'case', 'adwar', 'window', 'xp', 'pc', 'get', 'occasion', 'pop', 'up', 'browser', 'close', 'ran', 'remov', 'app', 'like', 'adawar', 'popup', 'persist', 'normal', 'suggest', 'reformat', 'want', 'spend', 'pain', 'hour', 'try', 'remov', 'caus', 'mayb', 'better', 'idea', 'm', 'pretti', 'sure', 'popup', 'mayb', 'disabl']","['internet', 'explorer', 'virus', 'spyware', 'popups', 'adware']"
3425,"['best', 'latex', 'editor']","['s', 'best', 'latex', 'editor', 've', 'recommend', 'read', 'understand', 'profici', 'author', 'paper', 'book', 'latex']","['latex', 'text', 'editing']"
3527,"['need', 'applic', 'upload', 'pictur', 'iphon', 'picasa', 'web', 'album']","['strong', 'lean', 'picasa', 's', 'great', 'solut', 'migrat', 'flickr', 'free', 'pai', 't', 'matter', 'd', 'like', 'allow', 'tag', 'geotag', 'plu', 'edit', 'clear', 'd', 'like', 'app', 'run', 'nativ', 'iphon', 'edit', 'chang', 'titl']","['iphone', 'photos', 'picasa']"
3729,"['need', 'qualiti', 'usb', 'hub', 'abl', 'power', 'extern', 'hardwar']","['us', 'usb', 'hub', 'experi', 'seagat', 'freeagent', 'power', 'usb', 'want', 'usb', 'hub', 'abl', 'provid', 'usb', 'port', 'power', 'harddriv']","['power', 'usb', 'hub']"
3745,"['look', 'inexpens', 'na', 'turn', 'idl']","['linux', 'window', 'comput', 'network', 'like', 'central', 'file', 'store', 'music', 'want', 'plug', 'rj', 'cabl', 'access', 'prefer', 't', 'us', 'proprietari', 'file', 'interest', 'idea', 'main', 'concern', 'na', 'turn', 'drive', 'drive', 'idl', 'access', 'small', 'time', 'like', 'bai', 'support', 'raid', 'like', 'possibl', 'cours', 'drive', 'instal', 'interest', 'bittorr', 'client', 'requir']","['raid', 'nas', 'storage']"
3771,"['g', 'usb', 'wireless', 'adapt', 'linux', 'ap', 'support']","['usb', 'wireless', 'adapt', 'support', 'g', 'ap', 'mode', 'linux', 'binari', 'driver', 'plan', 'us', 'arm', 'devic', 'support', 'wpa', 'desir']","['linux', 'usb', 'wireless', 'networking', 'embedded']"
3784,"['prefer', 'size', 'number', 'monitor']","['like', 'singl', 'giant', 'monitor', 'coupl', 'mid', 'size', 'monitor', 'configur', 'specif', 'm', 'interest', 'home', 'gener', 'purpos', 'media', 'center', 'netbook']","['multiple', 'monitors', 'display']"
3810,"['download', 'lot', 'digit', 'pi']","['larg', 'digit', 'pi', 'calcul', 'billion', 'pifast', 'work', 'wine', 't', 'care', 'slow', 'download', 'speed']",['download']
3848,"['look', 'secur', 'audio', 'player', 'window']","['know', 'dozen', 'audio', 'player', 'window', 'best', 'secur', 'record', 'report', 'vulner', 'number', 'secur', 'exploit', 'best', 'secur', 'implement', 'reason', 'implementaiton', 'e', 'handl', 'window', 'user', 'start', 'report', 'media', 'base', 'attack', 'window', 'media', 'player', 'us', 'player', 'proactiv', 'secur', 'approach', 'handl', 'exploit']","['windows', 'security', 'audio', 'media', 'player']"
